ID,Title (任务标题),Content (详细内容),Acceptance Criteria (测试验收要求),Review Requirements (Review要求),State (状态),Labels (标签)
45,把 slash if/else 收敛为 command registry,新建 `src/chat/command-registry.ts`，把当前 `src/chat/slash.ts` 的 if/else 串改成基于 registry 的单一命令真相；`executeSlashCommand` 只负责解析和分派，不再维护第二套命令表。,1) 新增 `src/chat/command-registry.ts`；2) `src/chat/slash.ts` 通过 registry 执行命令；3) 未知命令仍显式抛错；4) `npm run build && node --test tests/chat-slash-registry.test.mjs tests/chat-runtime.test.mjs` 通过。,强制 review+rewind：搜索 `/go|/cancel|/quit|/choose-template|/accept-patch|/reject-patch` 等命令字面量，确认命令定义只保留在 registry；确认没有兼容 shim 和双路径执行；完成后检查命令帮助、执行与测试是否都指向同一真相。,已完成,已完成
46,新增 transcript 工具事件载荷测试,新建 `tests/chat-transcript-events.test.mjs`，锁定修改型工具完成后 `task_finished` 事件必须携带 TUI 渲染所需字段：`summary`、`patchCount`、`diffPreview`、`defaultExpanded`、`hideDiagnostics`。,1) 新增 `tests/chat-transcript-events.test.mjs`；2) 覆盖 parse/optimize 至少一种修改型工具路径；3) 明确要求 `defaultExpanded=true` 且 `hideDiagnostics=true`；4) 断言 transcript 主轴中不存在匹配 `/\\[(WARN|INFO)\\]/` 的默认输出；5) `npm run build && node --test tests/chat-transcript-events.test.mjs` 通过。,强制 review+rewind：确认测试针对 transcript 事件契约，而不是直接断言 UI 文本；搜索 `task_finished` 结构，确认没有未受测的并行载荷形态；完成后检查字段名与设计约束是否一一对应。,已完成,已完成
47,为修改型工具生成 diffPreview 与高信号事件载荷,修改 `src/chat/events.ts` 与 `src/chat/agent.ts`，让修改型工具在 `task_finished` 事件里携带统一 diff 预览；diff 行必须可表达 `add/remove/meta`，且默认展开、默认隐藏杂散诊断日志。,1) `ChatEvent` 可表达 diffPreview 行结构；2) mutating tool 的 `task_finished` 事件包含 `summary/patchCount/diffPreview/defaultExpanded/hideDiagnostics`；3) `[WARN]/[INFO]` 等杂散日志不进入 transcript 主轴；4) `npm run build && node --test tests/chat-transcript-events.test.mjs tests/chat-agent.test.mjs` 通过。,强制 review+rewind：搜索 `task_finished` 构造点与日志输出点，确认只有一套工具卡片载荷协议；确认无新增散落日志旁路；完成后检查 diffPreview 是否只承载高信号内容，没有夹带解释性废话。,已完成,已完成
48,新增 TUI view-model 行为测试,新建 `tests/tui-view-model.test.mjs`，锁定 header、transcript、composer、preview 四个展示投影的基本行为，并明确编辑态下右侧预览自动打开、assistant 头部为 `● cn-resume`、tool 卡片默认展开。,1) 新增 `tests/tui-view-model.test.mjs`；2) 覆盖 `LIVE DRAFT/COMMITTED/EXPORT PREVIEW` 三种预览状态；3) 覆盖 assistant/user/tool 三种时间线投影；4) 增加断言：view-model 不维护第二套 workflow 真相，任何 `isEditing/previewVisible` 类状态都必须可由 `session.workflowState/pendingPatches/phaseB` 推导；5) `npm run build && node --test tests/tui-view-model.test.mjs` 通过。,强制 review+rewind：确认测试只锁定 UI 投影，不越界检查 runtime 内部细节；搜索 `● cn-resume`、预览状态标签与展开规则，确认命名只有一套；完成后检查 view-model 边界是否清楚。,已完成,已完成
49,实现 TUI view-model 基础投影,新建 `src/tui/view-model.ts`，把 `session.transcript + workflowState + artifacts` 投影为 `header/transcript/composer/preview` 四块 UI 状态；view-model 只读 session，不直接改业务真相。,1) 新增 `src/tui/view-model.ts`；2) assistant 头部固定映射为 `● cn-resume`；3) user/tool/approval/result/error 均能映射成独立时间线项；4) `preview.visible`、`isEditing` 等 UI 状态只由 `session.workflowState/pendingPatches/phaseB` 实时推导，不新增持久化或并行 workflow 字段；5) `npm run build && node --test tests/tui-view-model.test.mjs` 通过。,强制 review+rewind：搜索 UI 状态写入点，确认 view-model 没有反向修改 session；确认没有在 view-model 中复制第二套 workflow 真相；完成后检查 header/transcript/composer/preview 的输入输出是否最小。,已完成,已完成
50,实现 diff 超过 12 行的简洁版规则,新建 `src/tui/diff.ts`，把修改型工具 diff 在超过 12 行时切成简洁版：前 4 行、隐藏提示、后 2 行；未超过阈值时保持默认展开全量显示。,1) 新增 `src/tui/diff.ts`；2) 阈值固定为 12 行；3) 简洁版保留颜色语义与隐藏行数提示；4) `npm run build && node --test tests/tui-view-model.test.mjs` 中 diff 简洁版用例通过。,强制 review+rewind：确认阈值、裁剪策略、隐藏提示只保留一套规则；搜索 diff 处理入口，确认没有别处再做二次裁剪；完成后检查 full/condensed 两种模式无残余分支。,已完成,已完成
51,新增 theme token 与品牌 splash 测试,新建 `tests/tui-brand.test.mjs`，锁定 stitch 对齐色板 token 与启动品牌字标的存在性；品牌字标必须来自批准后的像素稿，不允许运行时随机生成。,1) 新增 `tests/tui-brand.test.mjs`；2) 断言 theme 暴露 frame、assistant、user、tool diff 等必要 token；3) 断言 `renderBrandSplash()` 读取 `assets/brand-splash.txt` 并返回非空多行字符串；4) `npm run build && node --test tests/tui-brand.test.mjs` 通过；5) 人工对比 `stitch/code.html:60-121`，确认顶栏、assistant/user、工具卡片与输入区所用 token 对齐到同一视觉基线。,强制 review+rewind：确认测试锁的是已批准品牌与色板契约，不锁无关实现细节；搜索品牌字符串与 theme token，确认没有第二份硬编码色板；完成后检查 splash 是否被限制为一次性启动用途。,已完成,已完成
52,实现 stitch 对齐 theme token 与一次性品牌 splash,新建 `src/tui/theme.ts` 与 `src/tui/brand.ts`，集中维护 stitch 对齐的终端视觉 token，并输出一次性启动品牌字标；主界面仅保留紧凑品牌名，不常驻大字标。,1) `src/tui/theme.ts` 暴露统一色板与角色/边框/token；2) `src/tui/brand.ts` 从 `assets/brand-splash.txt` 输出一次性品牌字标；3) 无第二套色板或品牌字符串散落；4) `npm run build && node --test tests/tui-brand.test.mjs` 通过；5) 人工对比 `stitch/code.html:60-121`，确认 frame/assistant/user/tool/input 四类视觉 token 与设计稿一致。,强制 review+rewind：搜索颜色十六进制值与品牌字样，确认主题与 splash 只有一套定义；确认主界面不会重复渲染大字标；完成后检查 theme/brand 是否都处在展示层边界内。,已完成,已完成
53,新增 transcript 渲染测试,新建 `tests/tui-transcript-render.test.mjs`，锁定时间线渲染效果：assistant 显示 `● cn-resume`，user 保持终端输入感，tool 卡片默认展开并显示绿色/红色 diff，主区不出现 `[WARN]/[INFO]`。,1) 新增 `tests/tui-transcript-render.test.mjs`；2) 通过 ink-testing-library 断言关键文本与颜色语义；3) tool diff 行包含 `+/-` 且主区无诊断日志；4) 在 100 条 transcript 项规模下渲染不崩溃、不丢主区高信号项；5) `npm run build && node --test tests/tui-transcript-render.test.mjs` 通过；6) 人工对比 `stitch/code.html:95-121`，确认 assistant 头、user 输入条目、工具包裹卡片层级对齐设计稿。,强制 review+rewind：确认测试覆盖的是主时间线高信号元素，不夹带无关布局细节；搜索 `[WARN]`/`[INFO]` 与 tool diff 渲染点，确认默认主区不会渲染杂日志；完成后检查角色文案是否与设计约束一致。,已完成,已完成
54,实现 assistant/user/tool/status 时间线组件,创建 `src/tui/transcript/assistant-message.tsx`、`user-message.tsx`、`tool-card.tsx`、`status-card.tsx`、`lane.tsx`，按时间顺序渲染独立卡片；tool 卡片默认展开，diff `+` 整行绿色、`-` 整行红色。,1) 新增上述 transcript 组件文件；2) assistant 头部为 `● cn-resume`；3) tool 卡片显示包裹式 diff，不显示杂日志；4) 对长 transcript 采用有界渲染策略（如尾部窗口或等价方案），保证 100 条 transcript 项稳定渲染；5) `npm run build && node --test tests/tui-transcript-render.test.mjs` 通过。,强制 review+rewind：确认 tool 不被挂回 assistant 子节点；搜索 transcript 组件入口，确认时间线卡片只有一套组合方式；完成后检查 diff 着色、角色头、折叠行为都已落到组件层而非测试夹带。,已完成,已完成
55,新增 multiline composer 与闪烁光标测试,新建 `tests/tui-composer.test.mjs`，锁定 composer 的多行输入、闪烁光标、hint 文案与焦点行为；聚焦时显示光标，失焦时停止闪烁。,1) 新增 `tests/tui-composer.test.mjs`；2) 覆盖单行、多行、聚焦、失焦四种场景；3) hint 文案包含 `Enter send / Ctrl+J newline / Tab complete / Esc close overlay`；4) `npm run build && node --test tests/tui-composer.test.mjs` 通过。,强制 review+rewind：确认测试只锁输入模型与显示行为，不假设具体终端驱动实现；搜索 hint 文案与光标字形，确认没有第二份重复定义；完成后检查光标规则是否与设计约束一致。,已完成,已完成
56,实现 multiline composer 与闪烁光标组件,创建 `src/tui/composer/model.ts` 与 `src/tui/composer/composer.tsx`，支持多行输入、闪烁光标、上下文 chips 和底部 hint；assistant streaming 时不抢 composer 焦点。,1) 新增 composer model/组件文件；2) 聚焦时显示竖条光标，失焦时停止闪烁；3) 支持多行 draft 文本；4) `npm run build && node --test tests/tui-composer.test.mjs` 通过。,强制 review+rewind：确认 composer 不直接操纵 runtime 主状态；搜索光标显示逻辑与焦点状态，确认只有一套实现；完成后检查输入区、chips、hint 是否都属于 composer 边界内且无残余占位实现。,已完成,已完成
57,新增 preview drawer 状态与渲染测试,新建 `tests/tui-preview-drawer.test.mjs`，锁定右侧结构化预览抽屉行为：默认关闭，进入编辑态自动打开并在编辑闭环内保持打开，默认显示 `Structure` 视图和 `LIVE DRAFT/COMMITTED/EXPORT PREVIEW` 状态标签。,1) 新增 `tests/tui-preview-drawer.test.mjs`；2) 覆盖默认关闭、编辑态打开、编辑结束后不再强制锁定三类场景；3) 断言默认 tab 为 Structure；4) 分别验证 `resumeDraft`、`pendingPatches`、`phaseB.status=awaiting_feedback` 三个触发条件都会打开预览；5) 明确验证编辑闭环结束条件为 `pendingPatches.length === 0 && phaseB.status !== 'awaiting_feedback'`；6) 增加断言：`ui-state` 不保存 `isEditing/workflowState/previewLockedByEditLoop` 这类可由 session 推导的状态；7) `npm run build && node --test tests/tui-preview-drawer.test.mjs` 通过。,强制 review+rewind：确认测试只锁抽屉可见性和状态标签，不直接测试模板 HTML；搜索 preview 状态标签与自动打开规则，确认只有一套定义；完成后检查抽屉行为是否以编辑闭环为唯一触发真相。,已完成,已完成
58,实现编辑态自动弹出并保持打开的结构化预览抽屉,新建 `src/tui/ui-state.ts`、`src/tui/drawer/preview-drawer.tsx`、`structure-tab.tsx`、`template-tab.tsx`，让右侧预览在编辑态自动打开并默认显示结构化实时预览；模板化预览作为次级切换，而不是默认态。,1) 新增抽屉状态与组件文件；2) 编辑态自动打开并保持打开直到确认/拒绝结束；3) `resumeDraft`、`pendingPatches`、`phaseB.status=awaiting_feedback` 任一成立都会打开预览；4) 只有当 `pendingPatches.length === 0 && phaseB.status !== 'awaiting_feedback'` 时才解除编辑锁定打开；5) `src/tui/ui-state.ts` 仅保存 UI-only 瞬态（tab/overlay/手动开关意图），不保存 `isEditing/workflowState/previewLockedByEditLoop`；6) 默认展示结构化实时预览，不默认展示 HTML 缩略；7) `npm run build && node --test tests/tui-preview-drawer.test.mjs` 通过。,强制 review+rewind：确认 preview drawer 只消费 session/view-model，不直接调 tool；搜索自动打开/关闭逻辑，确认无第二套 UI 状态旁路；完成后检查 Structure/Template 两类视图边界是否清楚。,已完成,已完成
59,新增 TUI 启动与 runtime 集成测试,新建 `tests/tui-run.test.mjs`，锁定 `runChatTui()` 的最小闭环：启动先输出一次品牌 splash，再渲染第一帧，并能消费 runtime `emit` 事件刷新 transcript。,1) 新增 `tests/tui-run.test.mjs`；2) 断言品牌 splash 只输出一次；3) 断言 runtime 事件能驱动第一帧刷新；4) 断言 splash 完整输出先于第一帧主界面渲染，不发生交错闪现；5) `npm run build && node --test tests/tui-run.test.mjs` 通过。,强制 review+rewind：确认测试对 splash 次数和 runtime 接线有客观断言，不依赖人工观察；搜索 splash 输出点与 emit 订阅点，确认启动链只有一条；完成后检查测试是否仍可在 headless 环境稳定运行。,已完成,已完成
60,实现 Ink app frame 并接通 runtime emit 循环,完善 `src/tui/run.tsx`，把 Ink app frame、status rail、transcript lane、preview drawer、composer 组装起来，并用现有 `loadChatRuntime/submitChatInput/runChatLoop` 等 runtime 能力驱动 UI；不允许 UI 直接绕过 runtime 调 tool。,"1) `src/tui/run.tsx` 能启动 Ink 界面并接收 runtime 事件；2) 启动时先输出一次品牌 splash；3) UI 输入最终仍通过 runtime/slash/controller 闭环执行；4) `rg -n \runChatTool\"" src/tui src/tui/**/*.tsx src/commands/chat.ts` 结果为空，证明 UI 未直接调用 tool；5) `npm run build && node --test tests/tui-run.test.mjs tests/chat-loop.test.mjs` 通过。""",强制 review+rewind：搜索 tool 调用入口，确认 UI 未直接调用 `runChatTool`；确认 splash 与主界面渲染顺序固定；完成后检查 runtime 接线是否仅新增观察与渲染逻辑，没有污染控制内核。,已完成,已完成
61,更新 help/usage 并执行最终 Chat TUI 回归门禁,修改 `src/cli/args.ts` 的 `usage()`，补充默认 TUI 入口与 `cn-resume chat` 说明；随后执行 chat tui 相关全量回归，确认新入口、registry、事件载荷、时间线、composer、preview drawer、runtime 接线全部闭环。,1) `usage()` 明确说明 `cn-resume` 默认进入 TUI、`cn-resume chat` 显式进入 TUI；2) `npm run build && node --test tests/chat-entry.test.mjs tests/chat-slash-registry.test.mjs tests/chat-transcript-events.test.mjs tests/tui-view-model.test.mjs tests/tui-brand.test.mjs tests/tui-transcript-render.test.mjs tests/tui-composer.test.mjs tests/tui-preview-drawer.test.mjs tests/tui-run.test.mjs tests/chat-runtime.test.mjs tests/chat-loop.test.mjs tests/chat-persistence.test.mjs tests/chat-agent.test.mjs` 通过；3) `npm test` 通过；4) 当前原子化任务影响边界内无未清理的 TODO、临时 shim、残余日志。,强制 review+rewind：必须逐项回看入口、命令、事件、时间线、预览、composer、runtime 六条主链是否全部改净；用 `rg 'AI Agent|\\[WARN\\]|\\[INFO\\]|unsupported slash command' src tests` 复核已批准文案与日志约束是否有残余；只有所有影响边界内的改动都完成且无残余后，才能把本任务标记为已完成。,已完成,已完成
62,锁定 render-engine hard-cut 控制合同与门禁基线,前置：无。对照 `docs/plans/2026-03-14-render-engine-hard-cut-design.md` 与 `docs/plans/2026-03-14-render-engine-hard-cut.md` 核对本轮唯一真相：最终 16 个公开模板、默认模板 `single-clean`、旧模板名直接报错、`src/render-engine/*` 目录树、`issue-loop` 仅作材料库、实现只在 `feature/render-engine-hard-cut` 分支进行。本任务只做基线校验与执行边界冻结，不改业务代码。,1) 运行 `rg 'single-clean|src/render-engine|旧模板名直接报错|feature/render-engine-hard-cut' docs/plans/2026-03-14-render-engine-hard-cut-design.md docs/plans/2026-03-14-render-engine-hard-cut.md` 能命中对应口径；2) 运行 `npm run build && npm run typecheck` 通过；3) 当前 `git status --short` 不得出现未解释的代码脏改动；4) 本任务完成后后续 issue 都能从同一控制合同推导。,"强制 review+rewind：逐条回看控制合同、执行分支策略、脏分支策略、16 模板决定是否唯一且无冲突；确认未把 `issue-loop` 的旧 `workflow.stage` 控制面误纳入本轮；确认当前原子化任务影响边界内无残余待补项。",已完成,已完成
63,封存 issue-loop 脏分支快照,前置：#62。对 `.worktrees/feature/issue-loop-20260312-152941` 创建 `snapshot/issue-loop-pre-render-engine-hard-cut-20260314` 并把当前脏状态固化为快照提交；本任务只处理材料库保全，不得触碰 `main` 源码。,1) 运行 `git -C .worktrees/feature/issue-loop-20260312-152941 status --short --branch` 先显示脏状态；2) 运行 `git -C .worktrees/feature/issue-loop-20260312-152941 switch -c snapshot/issue-loop-pre-render-engine-hard-cut-20260314` 成功；3) 运行 `git -C .worktrees/feature/issue-loop-20260312-152941 add -A && git -C .worktrees/feature/issue-loop-20260312-152941 commit -m 'chore: snapshot issue-loop dirty worktree before render-engine hard-cut'` 成功；4) 运行 `git worktree list` 能看到快照结果或快照分支已可追溯。,"强制 review+rewind：确认快照覆盖全部脏改动且 `main` 无文件变化；确认后续 render-engine 实现不会继续写入原 `feature/issue-loop-20260312-152941` worktree；若快照不完整立即重做。",已完成,已完成
64,建立 render-engine 硬切主线分支并冻结旧分支写入,前置：#63。从当前 `main` 创建干净分支 `feature/render-engine-hard-cut` 作为唯一实现主线；执行期禁止再向 `feature/issue-loop-20260312-152941` 提交任何新改动。,1) 当前工作分支切换为 `feature/render-engine-hard-cut`；2) 运行 `git branch --show-current` 输出该分支名；3) 运行 `git status --short --branch` 显示工作树干净；4) 在执行记录中明确后续 `#65-#73` 只在新分支推进。,"强制 review+rewind：确认分支起点来自当前 `main` 而不是快照分支；确认原脏分支仅保留为材料库；确认没有在错误分支上开始测试或编辑。",已完成,已完成
65,编写模板目录硬切失败测试,前置：#64。新增 `tests/template-catalog-hard-cut.test.mjs` 并修改 `tests/template-spec.test.mjs`，锁定最终 16 个公开模板、默认模板 `single-clean`、旧模板名直接报错、错误提示要求执行 `template list`；先把测试写到明确失败。,1) `tests/template-spec.test.mjs` 不再断言 50 模板而是断言最终 16 模板；2) `tests/template-catalog-hard-cut.test.mjs` 覆盖 `classic`、`modern`、`elegant` 报错路径；3) 运行 `npm run build && node --test tests/template-spec.test.mjs tests/template-catalog-hard-cut.test.mjs` 明确 FAIL 且失败点指向当前旧模板目录；4) 本任务不得修改 `src/template/*` 实现。,"强制 review+rewind：确认测试只锁公开契约而不偷改实现；确认失败原因来自旧行为而不是测试写坏；用 `rg 'single-clean|classic|modern|elegant' tests/template-spec.test.mjs tests/template-catalog-hard-cut.test.mjs` 复核断言无残缺。",已完成,已完成
66,实现 16 模板公开目录与硬切错误语义,前置：#65。修改 `src/template/spec.ts`、`src/constants.ts`、`src/template/custom-template.ts` 以冻结最终 16 个公开模板、移除旧模板名兼容、固定默认模板存在性检查；本任务只处理模板真相层与解析契约，不改渲染引擎物理路径。,1) `BUILTIN_TEMPLATE_NAMES`、`TEMPLATE_LIST`、`TEMPLATE_GROUPS` 与最终 16 模板一致；2) 旧模板名解析直接报错且提示 `template list`；3) 默认模板 `single-clean` 存在于公开模板集合；4) 运行 `npm run build && npm run typecheck && node --test tests/template-spec.test.mjs tests/template-catalog-hard-cut.test.mjs` 通过。,"强制 review+rewind：确认没有 alias、shim、silent mapping；确认公开模板集合只有一套真相；用 `rg 'classic|modern|elegant' src/template src/constants.ts` 检查旧公开名不再作为可解析入口，仅允许历史文档语境保留。",已完成,已完成
67,编写 render-engine 路径与 registry 一致性失败测试,前置：#66。新增 `tests/render-engine-paths.test.mjs` 与 `tests/render-engine-registry.test.mjs` 并调整现有渲染相关测试导入目标，锁定未来 `dist/render-engine/*` 入口、默认模板存在性、`TEMPLATE_BUILDERS` key 与 16 模板集合一致；先把测试写到失败。,1) 新测试覆盖 `dist/render-engine/*` 导入、registry key 集、一致性与默认模板存在性；2) 现有 `jadeai-render-config` 相关测试开始向中性路径迁移但仍保持当前失败；3) 运行 `npm run build && node --test tests/render-engine-paths.test.mjs tests/render-engine-registry.test.mjs tests/jadeai-render-config.test.mjs` 明确 FAIL 且失败点指向 `render-engine` 尚不存在；4) 本任务不得修改 `src/jadeai/*` 实现。,"强制 review+rewind：确认测试只建立未来入口契约，不提前搬实现；确认 registry 一致性断言针对最终 16 模板；确认失败来源是路径或模块未迁移而非测试语法错误。",未开始,未开始
68,迁移 jadeai 核心文件到 render-engine 并更新入口导入,前置：#67。将 `src/jadeai/adapter.ts`、`builders.ts`、`constants.ts`、`generate-pdf.ts`、`qrcode.ts`、`types.ts`、`utils.ts` 迁到 `src/render-engine/*` 并更新 `src/commands.ts`、`src/template/custom-template.ts`、`src/flows/parse-optimize.ts`、`src/flows/render.ts` 等直接导入；本任务不处理 50→16 模板实现删减。,1) `src/render-engine/*` 核心文件创建完成并可编译；2) 主代码不再从 `src/jadeai/*` 导入上述核心模块；3) 运行 `npm run build && npm run typecheck && node --test tests/render-engine-paths.test.mjs` 通过；4) 运行 `rg 'src/jadeai|dist/jadeai' src tests` 时仅允许命中尚未迁移的模板测试文件或历史文档。,"强制 review+rewind：确认函数签名与主链行为未被顺手重构；确认 `layout-core` 职责未被混入 builder 或 pdf 细节；逐个检查受影响 import 位点无残余遗漏。",未开始,未开始
69,收口 builder registry 到 16 模板并删除旧模板实现,前置：#68。仅在 `src/render-engine/builders.ts` 与 `src/render-engine/templates/*` 中保留最终 16 个模板实现文件，删除其余旧模板 builder 与导入，确保 `TEMPLATE_BUILDERS` key、模板实现文件集合、公开模板名完全一致。,1) `src/render-engine/templates/` 仅保留 16 个模板文件；2) `TEMPLATE_BUILDERS` key 与 `BUILTIN_TEMPLATE_NAMES` 全等；3) 不存在未引用的旧模板 builder 导入；4) 运行 `npm run build && npm run typecheck && node --test tests/render-engine-registry.test.mjs tests/jadeai-render-config.test.mjs tests/pagination.test.mjs` 通过。,"强制 review+rewind：确认删除的是未保留模板实现而不是主链依赖；用 `find src/render-engine/templates -name '*.ts' | wc -l` 与 registry 测试双重校验数量；用 `rg 'classic|modern|elegant|two-column|sidebar' src/render-engine` 确认仅保留被批准的新命名实现或历史说明。",未开始,未开始
70,去除对外 JadeAI 品牌词并修正当前实施口径,前置：#69。修改 `src/cli/args.ts` 与相关测试和文档，把当前实现表述中的 `JadeAI` 全部替换为中性 `render-engine` 或 `built-in template catalog` 口径；历史文档允许过去式引用，但不得把旧品牌写成当前实现。,1) `usage()` 与用户可见错误或帮助文本不再出现 `JadeAI`；2) 新增 `tests/render-engine-branding.test.mjs` 并通过；3) `docs/plans/2026-03-12-resume-agent-design.md` 与 `docs/plans/2026-03-12-resume-agent-implementation.md` 中当前式表述已改为中性命名；4) 运行 `npm run build && npm run typecheck && node --test tests/render-engine-branding.test.mjs` 通过。,"强制 review+rewind：确认没有把“去品牌”误写成“去版权化已完成”；确认历史说明仅保留过去式；用 `rg 'JadeAI' src tests docs` 逐条审视剩余命中是否都属于被批准的历史上下文。",未开始,未开始
71,统一默认模板与推荐链到 single-clean,前置：#66、#69。修改 `src/template/recommend.ts`、`src/commands.ts`、`src/template/custom-template.ts`、`src/flows/parse-optimize.ts` 等默认模板与推荐入口，使所有默认路径和推荐候选只使用新 16 模板体系，默认模板固定为 `single-clean`。,1) 原先硬编码 `elegant` 或等价旧默认模板的路径全部切换到 `single-clean`；2) `template recommend`、`prepare-export`、`generate`、`validate`、`template preview` 不再产生已删除旧模板名；3) 运行 `npm run build && npm run typecheck && node --test tests/template-spec.test.mjs tests/template-recommend.test.mjs tests/prepare-export-cli.test.mjs` 通过。,"强制 review+rewind：确认默认值只有一套；用 `rg 'elegant|classic|modern' src/template src/commands.ts src/flows/parse-optimize.ts` 检查旧默认名无残留；确认推荐链没有越过最终 16 模板边界。",未开始,未开始
72,冻结渲染主链回归到新模板体系,前置：#69、#70、#71。更新 `tests/document-ir.test.mjs`、`tests/render-tree.test.mjs`、`tests/resume-agent-e2e.test.mjs`、`tests/resume-visual-regression.test.mjs` 及必要夹具，使 IR、render-tree、E2E、视觉回归全部改用新的模板名与 render-engine 路径，并验证 HTML、PDF、thumbnail 主链未被打坏。,1) 保留模板在新命名下仍能生成 HTML、PDF 与 thumbnail；2) 视觉回归仍能产出非空 PNG 与 PDF 首屏；3) `document-ir` 与 `render-tree` 测试不再依赖旧目录名；4) 运行 `npm run build && npm run typecheck && node --test tests/document-ir.test.mjs tests/render-tree.test.mjs tests/resume-agent-e2e.test.mjs tests/resume-visual-regression.test.mjs` 通过。,"强制 review+rewind：确认只是更新主链夹具与模板名而不是放宽断言；确认视觉尽量保形且没有通过删测绕过问题；逐项检查 screenshot 和 PDF 产物断言仍是客观非空与首屏检查。",未开始,未开始
73,执行残留扫描与最终总门禁,前置：#72。完成最终残留扫描与总门禁，确认主代码路径中不再出现旧 `JadeAI` 实现入口和未批准旧模板名，并执行全量测试矩阵；本任务是最终放行口，不做新功能开发。,1) 运行 `rg 'JadeAI|src/jadeai|dist/jadeai|classic|modern|elegant' src tests docs` 时只允许命中被批准的历史说明或迁移语境；2) 运行 `npm run build && npm run typecheck && node --test tests/template-catalog-hard-cut.test.mjs tests/render-engine-paths.test.mjs tests/render-engine-registry.test.mjs tests/render-engine-branding.test.mjs tests/template-spec.test.mjs tests/template-recommend.test.mjs tests/prepare-export-cli.test.mjs tests/document-ir.test.mjs tests/render-tree.test.mjs tests/pagination.test.mjs tests/resume-agent-e2e.test.mjs tests/resume-visual-regression.test.mjs && npm test` 全部通过；3) 当前工作树仅剩可解释的文档或快照差异或为空。,"强制 review+rewind：逐类回看模板目录、渲染引擎路径、品牌文案、默认模板、视觉回归五条主链是否全部改净；确认当前原子化任务影响边界内无 TODO、临时 shim、旧模板 alias 或未删除残留；若任一 gate 失败则停止推进并按最近 issue 逆序回退。",未开始,未开始
